PRES,HGHT,TEMP,DWPT,RELH,MIXR,THTA,THTE
hPa,m,C,C,%,g/kg,K,K
1000,39,,,,,,
966,345,24,22.3,90,17.91,299.9,350
956,436,23.4,21.9,91,17.65,301.1,348
937.1,610,22.1,21,94,17.01,302.2,342.8
925,723,21.2,20.4,95,16.61,302.8,340.1
918,789,20.8,20.5,98,16.84,302.9,340.3
904.9,914,20.3,20.1,99,16.67,303.4,340.4
888,1077,19.6,19.6,100,16.45,303.5,346.9
881,1145,20,19.7,98,16.69,303.8,345.5
873.5,1219,20.4,18.3,88,15.4,304.4,342.4
850,1456,21.8,13.8,60,11.8,305.2,335.2
849,1466,21.8,13.8,60,11.82,306.6,333.1
843.4,1524,21.6,13.4,60,11.62,307.8,331.5
815,1821,20.6,11.6,56,10.63,307.9,332.2
814.2,1829,20.6,11.4,56,10.49,309.5,335
795,2035,19.8,5.8,40,7.32,309.6,334.9
786,2134,20,3,32,6.09,309.9,334.4
780,2200,20.2,1.2,28,5.38,310.2,333.9
758.4,2438,18.1,0.2,30,5.13,310.4,333.4
731.7,2743,15.5,-1.2,32,4.83,310.4,333.4
705.9,3048,12.8,-2.5,34,4.53,310.4,333.2
700,3119,12.2,-2.8,35,4.47,310.5,333.3
655.4,3658,7,-5.3,41,3.94,311.9,335.3
608.5,4267,1.1,-8.2,50,3.41,312.9,330.7
605,4314,0.6,-8.4,51,3.37,313.9,327.3
585.6,4572,-1.5,-10.1,52,3.04,314.1,326.1
563.5,4877,-4,-12.2,53,2.68,314.2,325.8
552,5041,-5.3,-13.3,53,2.5,316.1,322.6
532,5329,-7.1,-22.1,29,1.23,317.6,323.4
513,5611,-8.9,-20.9,37,1.42,318.3,323.8
500,5810,-7.9,-21.9,32,1.33,319.8,324.6
497,5857,-7.5,-23.5,27,1.16,320.9,325.2
482,6096,-8.8,-24.9,26,1.06,321.8,325.8
477,6177,-9.3,-25.3,26,1.03,323,326.5
463.1,6401,-11.3,-27.2,26,0.89,323.1,326.2
